"team_id","team_size","final_performance","time_of_day","females"
2,6,0.505548839,14.25,2
3,5,0.604007132,14.25,1
4,4,-0.450756891,14.25,2
5,4,0.910154811,14.25,2
6,5,0.831575712,14.25,1
9,4,-0.679794056,14.25,1
12,6,0.467874126,14.25,1
14,5,0.106260407,10.75,2
16,5,-0.29895972,10.75,2
18,5,1.10989092,10.75,1
19,3,0.321582215,10.75,1
21,5,-0.936175733,10.75,1
23,5,0.6790747,10.75,1
24,6,-1.047396689,10.75,1
27,5,0.377080799,16,2
28,5,1.054228413,16,1
30,4,0.014999928,16,1
32,5,0.282814825,16,1
34,5,0.260760208,16,1
35,6,0.592587033,16,1
36,5,0.275261414,16,2
39,3,0.742972466,16,0
42,5,-0.485186879,9,2
44,6,-0.4344426,9,2
46,5,0.358277333,9,2
47,5,0.458317236,9,2
48,5,0.900278335,9,2
49,5,-1.387857283,9,2
50,5,0.321586894,9,2
52,5,-0.785387138,9,2
53,5,-0.396236651,9,2
55,6,0.615261273,14.25,2
57,5,-0.773594235,14.25,2
58,5,-0.584131442,14.25,2
60,5,0.176487956,14.25,2
61,4,-0.034846041,14.25,2
62,5,0.816580998,14.25,2
63,5,-0.297680048,14.25,2
64,4,-1.223765755,14.25,2
65,4,-3.080657316,14.25,2
66,5,-0.676330567,14.25,2
69,6,0.923465669,10.75,2
70,5,0.400156511,10.75,2
71,5,0.811554835,10.75,2
72,5,0.647110414,10.75,2
73,5,-0.118187944,10.75,2
74,6,0.655085942,10.75,2
77,5,0.448398925,10.75,2
78,4,-1.011867815,10.75,2
79,5,0.436680878,10.75,2
80,5,0.057433023,10.75,2
81,5,-0.676951099,10.75,2
82,5,-0.042088011,10.75,2
84,6,0.186917412,10.75,2
86,5,-1.032879392,10.75,2
87,5,0.049958565,10.75,2
88,6,-0.116561232,10.75,2
91,5,-0.599160141,10.75,2
92,5,-2.864853421,10.75,2
93,5,0.577617749,10.75,2
94,5,0.879964678,10.75,2
95,6,0.155119962,10.75,2
96,5,0.509215584,10.75,2
97,5,0.91318502,10.75,2
99,5,0.821215526,9,2
101,5,-2.354366264,9,2
102,5,0.749663175,9,2
105,5,0.546476144,9,2
106,5,-0.403375298,9,2
107,5,0.109179347,9,2
108,5,-0.097211537,9,2
109,5,-0.045259215,9,2
110,5,-0.364074484,9,2
111,6,0.638171564,9,2
