ID,Democrat,ZWpoor,ZBpoor,Zincome,Zedu,Zagency,Zzerosum
3.00,0.00,-1.46541,-1.63959,-2.16744,-1.59546,-1.04542,1.58312
4.00,0.00,1.02504,0.64955,0.95717,-1.59546,1.48975,1.10337
5.00,0.00,1.02504,-1.63959,-2.16744,-1.59546,-0.79190,1.26329
6.00,0.00,-0.63526,-0.87654,-2.16744,-1.59546,-2.56652,-0.17597
7.00,0.00,-0.63526,-0.87654,-2.16744,-1.59546,-2.05948,-1.13547
8.00,0.00,-0.63526,-0.87654,-2.16744,-1.59546,0.22217,-0.33588
9.00,0.00,-0.63526,-0.87654,-2.16744,-1.59546,0.47568,-0.33588
10.00,0.00,0.19489,-0.87654,-2.16744,-1.59546,-1.55245,-0.33588
11.00,1.00,-0.63526,-0.11350,-2.16744,-1.59546,-0.03135,-0.81563
13.00,0.00,-1.46541,0.64955,-2.16744,-1.59546,-0.79190,1.10337
15.00,0.00,-1.46541,2.17564,-2.16744,-1.59546,-0.03135,0.14387
16.00,0.00,-0.63526,-0.87654,-1.95914,-1.59546,-0.53838,0.78354
17.00,0.00,0.19489,0.64955,-1.95914,-1.59546,-0.28487,0.30379
18.00,0.00,1.02504,0.64955,-1.95914,-1.59546,0.47568,0.46370
19.00,0.00,-0.63526,-0.87654,-1.75083,-1.59546,-0.53838,0.30379
20.00,0.00,-1.46541,0.64955,-1.54252,-1.59546,0.98272,0.14387
23.00,1.00,-0.63526,-0.87654,-1.33421,-1.59546,-0.03135,-0.33588
24.00,0.00,1.02504,-0.11350,-1.33421,-1.59546,1.23623,0.78354
28.00,1.00,-0.63526,-0.11350,-0.91760,-1.59546,1.48975,-1.13547
29.00,0.00,-1.46541,-1.63959,-0.70929,-1.59546,0.22217,-0.65572
30.00,0.00,-0.63526,-0.11350,-0.70929,-1.59546,-0.03135,0.46370
31.00,0.00,0.19489,-0.11350,-0.70929,-1.59546,0.98272,-0.17597
32.00,0.00,0.19489,0.64955,-0.70929,-1.59546,-0.53838,0.78354
33.00,0.00,0.19489,0.64955,-0.70929,-1.59546,0.72920,0.62362
34.00,1.00,-1.46541,-0.87654,-0.50098,-1.59546,-2.82003,0.14387
35.00,1.00,-0.63526,-0.87654,-0.50098,-1.59546,0.22217,-0.01605
36.00,0.00,1.02504,0.64955,-0.50098,-1.59546,-0.79190,-0.17597
37.00,0.00,2.68534,1.41259,-0.50098,-1.59546,-2.56652,1.10337
39.00,0.00,-1.46541,-1.63959,-0.08437,-1.59546,0.22217,-0.49580
40.00,0.00,-0.63526,-0.87654,-0.08437,-1.59546,0.98272,-0.49580
41.00,0.00,-0.63526,0.64955,-0.08437,-1.59546,-0.28487,-0.01605
43.00,0.00,1.02504,0.64955,-0.08437,-1.59546,0.22217,-0.81563
44.00,0.00,-0.63526,-0.87654,0.12394,-1.59546,-0.28487,0.94345
45.00,1.00,-0.63526,-0.87654,0.12394,-1.59546,1.48975,-1.13547
46.00,0.00,-1.46541,0.64955,0.12394,-1.59546,-2.82003,1.10337
47.00,0.00,-0.63526,-0.87654,0.33225,-1.59546,-1.55245,0.94345
48.00,0.00,-0.63526,-0.87654,0.33225,-1.59546,0.22217,-0.33588
49.00,0.00,0.19489,-0.11350,0.33225,-1.59546,-0.53838,-0.49580
50.00,1.00,0.19489,0.64955,0.33225,-1.59546,-1.55245,0.14387
51.00,1.00,0.19489,-0.11350,0.54055,-1.59546,0.22217,-1.13547
52.00,0.00,0.19489,-0.11350,0.54055,-1.59546,0.47568,0.78354
53.00,0.00,-0.63526,-0.87654,1.16548,-1.59546,0.98272,-0.97555
54.00,0.00,-1.46541,-1.63959,-2.16744,-0.88495,1.48975,-1.13547
55.00,0.00,-1.46541,-0.87654,-2.16744,-0.88495,-1.80597,0.62362
60.00,0.00,-0.63526,-0.87654,-2.16744,-0.88495,0.47568,-0.33588
61.00,1.00,-0.63526,-0.87654,-2.16744,-0.88495,0.47568,-0.33588
62.00,1.00,0.19489,-0.87654,-2.16744,-0.88495,0.22217,-1.13547
